iter	Passed	Remaining
0	57	57673
1	58	28943
2	58	19383
3	58	14588
4	59	11745
5	59	9824
6	59	8460
7	59	7434
8	60	6662
9	60	6031
10	61	5501
11	61	5072
12	61	4695
13	62	4376
14	62	4111
15	62	3873
16	63	3655
17	63	3466
18	63	3296
19	64	3144
20	64	3005
21	64	2882
22	65	2770
23	65	2664
24	65	2571
25	66	2480
26	66	2393
27	66	2313
28	67	2249
29	67	2181
30	67	2117
31	67	2056
32	68	1999
33	68	1946
34	68	1898
35	69	1851
36	69	1808
37	69	1766
38	70	1727
39	70	1689
40	70	1654
41	70	1619
42	71	1585
43	71	1553
44	71	1525
45	72	1498
46	72	1470
47	72	1444
48	73	1418
49	73	1393
50	73	1371
51	73	1348
52	74	1327
53	74	1306
54	74	1286
55	75	1267
56	75	1249
57	75	1231
58	76	1213
59	76	1196
60	76	1180
61	77	1165
62	77	1149
63	77	1134
64	77	1120
65	78	1106
66	78	1092
67	78	1080
68	79	1068
69	79	1054
70	79	1043
71	80	1032
72	80	1020
73	80	1009
74	80	998
75	81	987
76	81	976
77	81	966
78	81	955
79	82	946
80	82	936
81	82	927
82	82	916
83	83	907
84	83	899
85	83	892
86	84	885
87	84	877
88	84	869
89	85	862
90	85	854
91	85	847
92	86	840
93	86	834
94	86	828
95	87	821
96	87	814
97	87	807
98	88	801
99	88	794
100	88	788
101	88	783
102	89	776
103	89	772
104	89	766
105	90	760
106	90	754
107	90	749
108	91	744
109	91	740
110	91	736
111	92	730
112	92	725
113	92	720
114	93	715
115	93	710
116	93	705
117	93	700
118	94	696
119	94	691
120	94	687
121	94	682
122	95	678
123	95	674
124	95	670
125	96	666
126	96	661
127	96	657
128	96	653
129	97	650
130	97	646
131	97	642
132	97	638
133	98	634
134	98	630
135	98	627
136	98	623
137	99	619
138	99	616
139	99	613
140	100	609
141	100	605
142	100	602
143	100	599
144	101	596
145	101	593
146	101	590
147	102	587
148	102	584
149	102	581
150	102	578
151	103	575
152	103	573
153	103	570
154	104	567
155	104	565
156	104	563
157	105	560
158	105	558
159	105	555
160	106	552
161	106	550
162	106	547
163	106	545
164	107	542
165	107	540
166	107	538
167	108	535
168	108	533
169	108	531
170	109	528
171	109	526
172	109	524
173	110	522
174	110	520
175	110	518
176	111	516
177	111	514
178	111	512
179	112	510
180	112	508
181	112	506
182	112	503
183	113	501
184	113	499
185	113	497
186	113	495
187	114	493
188	114	491
189	114	489
190	115	487
191	115	485
192	115	484
193	116	482
194	116	480
195	116	479
196	117	477
197	117	475
198	117	473
199	117	471
200	118	470
201	118	468
202	118	466
203	119	465
204	119	463
205	119	462
206	120	460
207	120	458
208	120	457
209	121	455
210	121	454
211	121	452
212	122	451
213	122	449
214	122	448
215	123	446
216	123	445
217	123	443
218	123	442
219	124	440
220	124	439
221	124	437
222	125	436
223	125	435
224	125	433
225	126	432
226	126	431
227	127	430
228	127	428
229	127	427
230	128	426
231	128	424
232	128	423
233	128	422
234	129	420
235	129	419
236	129	418
237	130	416
238	130	415
239	130	414
240	131	412
241	131	411
242	131	410
243	132	409
244	132	408
245	132	407
246	133	405
247	133	404
248	133	403
249	134	402
250	134	401
251	134	400
252	135	399
253	135	398
254	135	397
255	136	395
256	136	394
257	136	393
258	137	392
259	137	391
260	137	390
261	138	389
262	138	388
263	138	387
264	139	386
265	139	386
266	140	384
267	140	383
268	140	382
269	141	381
270	141	380
271	141	379
272	142	378
273	142	377
274	142	375
275	142	374
276	143	373
277	143	372
278	143	371
279	144	370
280	144	369
281	144	368
282	144	367
283	145	365
284	145	365
285	145	364
286	146	362
287	146	361
288	146	361
289	147	360
290	147	359
291	147	358
292	147	357
293	148	356
294	148	355
295	148	354
296	149	353
297	149	352
298	150	351
299	150	350
300	150	349
301	150	348
302	151	347
303	151	346
304	151	345
305	152	345
306	152	344
307	152	343
308	153	343
309	153	342
310	154	341
311	154	340
312	154	339
313	155	338
314	155	337
315	155	337
316	156	336
317	156	335
318	156	334
319	157	334
320	157	333
321	157	332
322	158	331
323	158	330
324	158	329
325	159	328
326	159	328
327	159	327
328	160	326
329	160	325
330	160	324
331	160	323
332	161	322
333	161	322
334	161	321
335	162	320
336	162	319
337	162	319
338	163	318
339	163	317
340	163	316
341	164	315
342	164	314
343	164	313
344	165	313
345	165	312
346	165	311
347	166	311
348	166	310
349	167	310
350	167	309
351	167	308
352	167	307
353	168	307
354	168	306
355	169	305
356	169	305
357	169	304
358	170	303
359	170	302
360	170	301
361	170	301
362	171	300
363	171	300
364	172	299
365	172	298
366	172	297
367	173	297
368	174	297
369	174	296
370	174	296
371	175	295
372	175	294
373	175	294
374	175	293
375	176	292
376	176	291
377	176	290
378	176	289
379	177	289
380	177	288
381	177	287
382	177	286
383	178	285
384	178	285
385	178	284
386	178	283
387	179	282
388	179	281
389	179	281
390	179	280
391	180	279
392	180	278
393	180	278
394	181	277
395	181	276
396	181	275
397	181	274
398	182	274
399	182	273
400	182	272
401	182	271
402	182	271
403	183	270
404	183	269
405	183	268
406	183	267
407	184	267
408	184	266
409	184	265
410	184	265
411	185	264
412	185	263
413	185	262
414	185	262
415	186	261
416	186	260
417	186	259
418	186	259
419	187	258
420	187	257
421	187	257
422	187	256
423	188	255
424	188	254
425	188	254
426	188	253
427	189	252
428	189	251
429	189	251
430	189	250
431	190	249
432	190	249
433	190	248
434	190	247
435	190	247
436	191	246
437	191	245
438	191	244
439	191	244
440	192	243
441	192	242
442	192	242
443	192	241
444	193	240
445	193	240
446	193	239
447	193	238
448	194	238
449	194	237
450	194	236
451	194	236
452	195	235
453	195	234
454	195	234
455	195	233
456	196	233
457	196	232
458	196	231
459	196	231
460	197	230
461	197	229
462	197	229
463	197	228
464	198	228
465	198	227
466	198	226
467	198	226
468	199	225
469	199	224
470	199	224
471	199	223
472	200	223
473	200	222
474	200	221
475	200	221
476	201	220
477	201	219
478	201	219
479	201	218
480	202	218
481	202	217
482	202	216
483	202	216
484	203	215
485	203	215
486	203	214
487	203	213
488	204	213
489	204	212
490	204	212
491	204	211
492	205	211
493	205	210
494	205	209
495	205	209
496	206	208
497	206	208
498	206	207
499	206	206
500	207	206
501	207	205
502	207	205
503	207	204
504	208	204
505	208	203
506	208	202
507	208	202
508	209	201
509	209	201
510	209	200
